,ratings,review
165,5,Great performance 🥰READ MORE
166,5,LovelyREAD MORE
167,4,The performance really smooth its.my frst time experience on this beast. I loved the color. Its really amazing and fabulaous and ofcoz.the camera is just awesoomeeeREAD MORE
168,5,Satisfied All Specifications are good Especially Display and Camera💯🎉📱❤️🔥Slightly geting warmREAD MORE
169,5,No words to say... Everybody knows...  Hey siriREAD MORE
170,5,❤️next level deviceREAD MORE
171,5,super duperREAD MORE
172,5,I love this iphone 13READ MORE
173,5,I write write review after 5 days1:-Genuine product came2:-Camera quality awesome3:-Battery performance 10/104:-Design awesomeOver all no phone to 13 series5:- No fraud Flipkart send always genuine productREAD MORE
174,5,Iphone Is iPhoneREAD MORE
175,3,"Heating and lagging is started after 5-6 days other than its good,also good battery backup and fast charging 🤺 If heat and lag not matters for you than close your eyes and order itREAD MORE"
176,1,Too much signal issue arising /Signal IC problem or Repaired model sentHeating problem observed only Best in camera remaining all not satisfied 👎🏼READ MORE
177,5,Best !READ MORE
178,5,Its very good for gaming you can record and play bgmi very easily.. Without any frame drops and lagssREAD MORE
179,3,"Point to point review out of 5:Back camera: 1Back camera portrait: 2Front camera portrait: 3 (has many dramatic modes)Overall camera performance is inferior to any entry level smartphones. Excessive image processing and AI actually ruins the final image quality. Images are lack of details and sharpness. Overrated.Image stabilization in video is good enough, but comparable to any smartphones in the similar price range.Battery: 4Charging: 5Display: 5iOS handling: 4 (many handy optio...READ MORE"
180,5,Phone is osam Camera mind blowingREAD MORE
181,1,product is awsomeREAD MORE
182,5,Phone is good in all way. except sometime heating problem while using the Game.  overall battery performance is awesomeREAD MORE
183,4,FRONT CAMERA VERY POOR ANDROID HAVE GOOD CAMERA BETTER THEN IPHONES FRONT CAMERA 😿 UNBETABLE PERFORMANCE 🚀❤️🫶READ MORE
184,5,Excellent mobile and seamless performance.READ MORE
185,4,"Well, moved to iphone from Android. Everything is good and sound. I just really miss the fast charging and 120hz display. Other than than I am satisfied.READ MORE"
186,5,Happy with the battery and the device Cinematic and the camera really osmREAD MORE
187,5,"Worst OS ever used in my Life Fake Camera lol ois in camera picture quality is poor compare to android flagship, i will sold after one year.  made foolsREAD MORE"
188,5,Apple i phone 13 really awesome performance processor was really awesome all over performance is very goodREAD MORE
